,Category,Document Title,Authors,Publication Title,Publication Year,Abstract,Author Keywords,IEEE Terms,Document Identifier
173,"['Product Development (PD)', 'Wireless Communication (W)', 'Diagnostic and Monitoring (DM)']",A Novel Smart Production Line Data Perception System Based on OPC UA,"['X. Lu', ' T. Tao', ' Z. Sun', ' L. Wang', ' H. Yang', ' F. Zhao', ' G. Jiang', ' X. Mei']","2021 IEEE 5th Information Technology,Networking,Electronic and Automation Control Conference (ITNEC)",2021,"With the rapid development of information and communication technology (ICT), traditional manufacturing is undergoing an upgrade and transformation to smart manufacturing. In order to achieve intelligent management and control of production process, data perception (DP) is the primary problem to be investigated during the transformation of current production line (PL). However, due to the numerous equipment types, heterogeneous communication protocols and interfaces, the cyber system and the physical world are severely separated, resulting in the phenomenon of information islands. In this paper, we propose a novel DP system architecture for smart production line (SPL) based on OPC UA, which is compatible with multiple device system protocols as well as provides a unified interaction interface for data-driven applications. Data collection and result feedback based on the protocol mapping and conversion are realized by flexibly utilizing two communication patterns of OPC UA, namely client-server (CS) and publish-subscribe (PubSub). The local and cloud case studies strongly verify the feasibility and prospect of the DP system.",smart manufacturing;data perception;smart production line;OPC UA;protocol conversion,Protocols;Automation;Conferences;Systems architecture;Process control;Production;Publish-subscribe,IEEE Conferences
174,"['Protocol Comparison (PC)', 'Integration (I)', 'Security (S)']",Interoperability of OPC UA PubSub with Existing Message Broker Integration Architectures,"['D. HÃ¤stbacka', ' P. Kannisto', ' A. KÃ¤tkytniemi']",IECON 2022 â€“ 48th Annual Conference of the IEEE Industrial Electronics Society,2022,"Interoperable communication technologies are of key importance in production systems with increasing needs for data in their adoption of data-driven methodologies and new, emerging applications. OPC UA PubSub defines an alternative to the traditional client-server communication with a publish-subscribe model for data to cater to scalability and data-driven cloud application needs. In this paper, the OPC UA PubSub model is compared to some other message broker and communication technologies and integrated with an existing message based integration model for evaluating the interoperability. A case example is presented where data payloads and information security practices are integrated using an adapter approach.",OPC UA PubSub;Interoperability;Industry4.0,Transport protocols;Adaptation models;Production systems;Scalability;Information security;Publish-subscribe;Data models,IEEE Conferences
175,"['Security (S)', 'Protocol Comparison (PC)']",On the Security of IIoT Deployments: An Investigation of Secure Provisioning Solutions for OPC UA,"['F. KohnhÃ¤user', ' D. Meier', ' F. Patzer', ' S. Finster']",IEEE Access,2021,"A key technology for the communication in the Industrial Internet of Things (IIoT) is the Open Platform Communications Unified Architecture (OPC UA). OPC UA is a standard that enables interoperable, secure, and reliable communication between industrial devices. To defend against cyber attacks, OPC UA has built-in security mechanisms that protect the authenticity, integrity, and confidentiality of data in transit. Before communicating securely, it is essential that OPC UA devices are set up in a secure manner. This process is referred to as secure provisioning. An improper provisioning can lead to weak or insecure OPC UA deployments that enable adversaries to eavesdrop or even manipulate communication between industrial devices. Such insecure deployments can also be maliciously provoked by adversaries who tamper with insecure provisioning solutions. Despite secure provisioning is essential for OPC UA security and usability, there exists no overview and systematic analysis on the patchwork of different solutions in industry and academia. This article presents the first investigation of secure device provisioning solutions for the OPC UA communication protocol. First, desired objectives and evaluation criteria for secure provisioning of OPC UA devices are defined. Next, existing and emerging OPC UA provisioning solutions are analyzed and compared based on the elaborated objectives and criteria. Additionally, an outlook into the future of OPC UA provisioning is given, based on solutions from the IoT domain. Finally, the analyzed OPC UA secure provisioning solutions are compared, recommendations are given, and research gaps are identified. It is shown that contemporary provisioning solutions offer an insufficient level of security. Emerging and future solutions provide much higher security guarantees but impose a tradeoff between usability and requirements on devices and infrastructures.",Communication system security;device provisioning;Industrial Internet of Things (IIoT);industry 40;network security;OPC UA;secure provisioning,Security;Servers;Standards;Industrial Internet of Things;Usability;Industries,IEEE Journals
176,['Product Development (PD)'],Controller Interface for Industry 4.0 based on RAMI 4.0 and OPC UA,"['P. F. S. de Melo', ' E. P. Godoy']",2019 II Workshop on Metrology for Industry 4.0 and IoT (MetroInd4.0&IoT),2019,"The Fourth Industrial Revolution or Industry 4.0 (I4.0) represents the evolution of the current productive systems from the merge of industrial automation and informatics. The technical innovation of I4.0 is characterized by the integration of manufacturing systems, management over the product life cycle and the decentralization of computing resources. The Reference Architecture Model for Industry 4.0 (RAMI 4.0) defines the compatible elements of I4.0 in a three-dimensional layer model. Despite its acceptance, the use of RAMI 4.0 is still restricted to research institutions and cases of individual executions. This paper focuses on the development of an open source controller interface for I4.0 based on RAMI 4.0 and OPC UA protocol. This interface should provide the functionalities of programming, RFID identification, network communication and equipment supervision, providing real-time process information, in a standardized and interoperable way, for any type of platform connected to the network. The paper describes the integration of technologies in the controller interface, as well as the controller relationship to the RAMI 4.0 layers. In addition, this controller interface represents the first step towards the development of a compatible â€œcontrol deviceâ€ to support I4.0 applications.",Industry 4.0;RAMI 4.0;OPC UA;Control Device,Industries;Standards;Servers;Production;Automation;Computer architecture;Solid modeling,IEEE Conferences
177,['Product Development (PD)'],Implementing an OPC UA interface for legacy PLC-based automation systems using the Azure cloud: An ICPS-architecture with a retrofitted RFID system,"['H. Haskamp', ' F. Orth', ' J. Wermann', ' A. W. Colombo']",2018 IEEE Industrial Cyber-Physical Systems (ICPS),2018,"Companies often have legacy systems within production processes. Many of these systems use proprietary information-communication-control-technologies (ICCT), among others, and for that reason it is difficult to integrate them into new industrial environments that require Industrie 4.0-compliances. The migration process of such industrial systems, i.e., retrofitting it into an Industrie 4.0-compliant, ICPS-Infrastructure, leads to the necessity of new features and components in the legacy architecture. This paper summarizes the process for retrofitting a flexible manufacturing system located at the Institute for Industrial Informatics, Automation and Robotics (I2AR) of the University of Applied Sciences Emden/Leer, integrating legacy PLCs, RFID and commercial cloud technology on the basis of an Industry 4.0-compliant digitalization of components with OPC UA interfaces. With the use of common technologies recommended for migrating legacy industrial systems into Industrie 4.0-compliant systems, the authors describe the major specifications and characteristics of a migration approach and resulted novel ICPS-architecture that allows the operator and/or other legacy automation and management systems to monitor and control the PLC component via a RAMI4.0-compliant digital interface, via a retrofitted RFID System.",OPC UA;Azure;Cloud Computing;Industrie 4.0;RFID;Industrial Digitalization;RAMI4.0;ICPS Architecture,Industries;Cloud computing;Radiofrequency identification;Servers;Automation;Computer architecture;Manufacturing,IEEE Conferences
178,['Theory (T)'],OPC UA-based Asset Administration Shell,"['S. Cavalieri', ' S. MulÃ©', ' M. G. Salafia']",IECON 2019 - 45th Annual Conference of the IEEE Industrial Electronics Society,2019,Industry 4.0 is really changing the manufacturing through the convergence of physical systems and their digital counterparts with Information Technology as an enabler. The Asset Administration Shell is core to Industry 4.0 components. Very recently a relevant metamodel has been defined. The paper presents its mapping with OPC UA achieved extending the relevant information model.,Asset Administration Shell;OPC UA;Industry 4.0,Industries;Semantics;Interoperability;Temperature measurement;Software;Tools;Temperature sensors,IEEE Conferences
179,"['Product Development (PD)', 'Theory (T)']",From ISA 88/95 meta-models to an OPC UA-based development tool for CPPS under IEC 61499,"['M. V. GarcÃ\xada', ' E. Irisarri', ' F. PÃ©rez', ' M. Marcos', ' E. Estevez']",2018 14th IEEE International Workshop on Factory Communication Systems (WFCS),2018,"In the era of Industry 4.0, fast-growing requirements for an agile and effective vertical integration are challenging the smart manufacturing. Cyber-Physical Production System (CPPS) technology plays a key role in the Industry 4.0 factory. One of the reasons for this is that shop floor data collection, monitoring and processing are enabled by CPPS devices together with IEC 61499 standard. To this end modeling and developing software and hardware components focused on distributed control systems are provided. This improvement in data monitoring and processing results not only in an optimization of equipment predictive maintenance but also in the ability to integrate new control techniques. This approach provides the Oil&Gas industry with the foundation to transform their traditional production fields into Intelligent Oil Field (IOF) environments. The aim of this paper is to build bridges between the state of technology and the design of industrial control applications. In particular, a CPPS platform developed through a software engineering tool giving support to the design of applications is proposed. It is based on the IEC 61499 and on a configurable OPC-UA server that maps field device data into an ISA95/88-based information model. Thus, this proposal will not only save Oil&Gas engineer time, it also will save efforts of adopting this promising technology.",OPC UA;ISA 95/88;IEC 61499;Vertical Integration;Intelligent Oil Field,IEC Standards;Object oriented modeling;Production;Industries;Servers;Oils,IEEE Conferences
180,['Diagnostic and Monitoring (DM)'],GraphQL Interface for OPC UA,"['J. Hietala', ' R. Ala-Laurinaho', ' J. Autiosalo', ' H. Laaki']",2020 IEEE Conference on Industrial Cyberphysical Systems (ICPS),2020,"Industrial Cyber-Physical Systems consist of multiple machines working together and demand efficient and flexible communication methods to function as intended. The protocols used in industrial operations and web applications are often contradictory in regards to the latency and security characteristics. Due to these differences, the intersection of operation and information technologies is a challenging area. But the rewards in smoother information flow are also high, providing a fruitful area for development. This paper introduces a general wrapper application to enable the use of the industrial OPC UA server through an interface implemented with web technology GraphQL. The results demonstrate sufficient performance for the middleware to be used in an overhead crane control application, bringing the agility of web development to industrial environments.",GraphQL;Interface;OPC UA,Servers;Protocols;Security;Digital twin;Switches;Portable computers;Monitoring,IEEE Conferences
181,['Product Development (PD)'],Design of a semantic information model for automated tape placement systems using OPC-UA,"['A. Peitz', ' P. Striet', ' M. Emonts', ' K. Fischer', ' C. Brecher']",2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA ),2021,"Standardized and reliable interfaces for production machines are essential requirements for realizing fully automated manufacturing throughout the value chain. Especially the lightweight industry with its heterogeneous and interdependent process landscape will profit from such a standardized, semantic process and material description. This paper presents an approach for semantic modeling of the automated laser-assisted tape placement process with in-situ consolidation using the OPC UA information-modeling framework and realizes an exemplary implementation for an existing machine prototype.",Laser-assisted tape placement;in-situ consolidation;information model;OPC-UA;self-description;flexible manufacturing,Industries;Conferences;Semantics;Prototypes;Production;Manufacturing;Reliability,IEEE Conferences
182,"['Product Development (PD)', 'Performance Analysis (PA)', 'Integration (I)']",Improving interoperability of Virtual Commissioning toolchains by using OPC-UA-based technologies,"['R. B. Hill', ' J. Delbos', ' S. Trebosc', ' J. Tsague', ' G. Feroldi', ' J. Martin', ' T. Master', ' N. Lassabe']",2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA ),2021,"It is well-known that one the most important challenges in industrial manufacturing processes is the reduction of lead-times and delays during the on-site commissioning. In applications in which several automation systems are used, such as in aeronautics or automotive manufacturing cells, several PLC's and drives are used to control the motion of the different electromechanical components. In order to verify and validate (V&V) automation code before deployment in the production environment, virtual commissioning (VC) techniques have become of great interest in the last decades. Even if VC simulation approaches, based on software/hardware-in-the-loop (SiL, HiL), have shown effectiveness to V&V automation code, the continuity from the execution to the simulation layers may not be ensured due to a lack of interoperability in the toolchain. Additionally, the development of reliable component models is a complex task of the VC solution since it requires a high level of mechatronics expertise. In order to avoid losing information between the execution and the simulation layers of VC toolchains, this paper presents a SiL based approach for interconnecting the PLC's with the VC simulation tool by means of OPC-UA-based technologies. In addition, in order to develop the functional models, we propose a library-based development. This will facilitate seamless flow of information between different PLC editors and the simulation layer. SiL simulations of the suggested approach on an automotive manufacturing cell are performed and show digital continuity from the execution to the simulation layer.",virtual commissioning;interoperability;OPC UA;PLC,Codes;Simulation;Semantics;Tools;Manufacturing;Servers;Reliability,IEEE Conferences
184,['Product Development (PD)'],Opportunities For A Hardware-Based OPC UA Server Implementation In Industry 4.0,"['Z. Charania', ' C. P. Iatrou', ' V. Khaydarov', ' R. Jacob', ' R. Wittig', ' H. Bauer', ' S. HÃ¶ppner', ' R. Bachmann', ' P. Bauer', ' H. Deckert', ' C. Mayr', ' G. Fettweis', ' L. Urbas']",IECON 2021 â€“ 47th Annual Conference of the IEEE Industrial Electronics Society,2021,"With the advent of the fourth industrial revolution i.e. Industry 4.0, plants and factories are becoming smarter and interconnected. The transitions demand vertical integration and seamless connectivity. For this purpose, there is a need for semantic communication between various devices including the heavily resource-constrained field devices. To address this, a real-time capable hardware-based implementation of a well-established semantic communication protocol, i.e. OPC Unified Architecture was designed and developed. This chip-based implementation is power-efficient and compact, making it suitable for the field level. The chip was analyzed and incorporated in a demonstrator as a proof of concept of its integration at field level in a plant module of the process industry. Various opportunities are also examined where the chip could be utilized to deliver benefits to existing and future technologies.",Open Platform Communications Unified Architecture (OPC UA);embedded;real-time;semantic;Industrial Internet of Things (IIoT),Industries;Industrial electronics;Protocols;Conferences;Semantics;Real-time systems;Production facilities,IEEE Conferences
188,"['Protocol Comparison (PC)', 'Performance Analysis (PA)']",Industrial IoT Smartbox for the Shop Floor,"['S. MalhÃ£o', ' R. DionÃ\xadsio', ' P. Torres']",2019 5th Experiment International Conference (exp.at'19),2019,"Constant search for efficiency and productivity has led to innovation on the factory shop floor, representing an evolution of the current production systems combined with new technologies of industrial automation and information technology. This work presents an experimental demo of a smartbox for Industry 4.0 scenarios, allowing sensing, monitoring and data acquisition. We have tested two different approaches, depending on the communication protocol used for real time applications: OPC UA or MQTT. Raspberry Pi's platform act as an OPC UA server or MQTT broker, respectively. From the measurements, data stored in a cloud server can be accessed remotely with improved security and visualized from a computer dashboard. One of the conclusions that can be drawn is that both protocols allow data from the smartbox to be stored and easily monitored from a smartphone application or a computer web interface. MQTT is a good option in communications requiring very low bandwidth. However, there is a lack of suitable libraries to program alarm features for OPC UA Servers.",Industrial IoT;OPC UA;MQTT;Raspberry PI;Node-RED,Servers;Software;Protocols;Monitoring;Automation;Libraries;Standards,IEEE Conferences
189,['Product Development (PD)'],Collecting Data and Metadata by Transforming between Differently Expressive Query Languages,"['J. Theissen-Lipp', ' M. Kocher', ' S. Decker', ' P. Sapel', ' M. Schmitz', ' C. Hopmann']",2022 IEEE 16th International Conference on Semantic Computing (ICSC),2022,"Recent trends lead to an ever-increasing data availability while gathering and linking valuable metadata is still an open research topic. Most industrial applications use vendor-specific data access and extract metadata either hard-coded or not, mainly because the used communication protocols are fast but have limited expressiveness. More powerful and convenient query languages (QLs) exist but are not yet applied to these scenarios. This paper crosses that bridge by transforming queries formulated in highly expressive QLs into lower-expressive ones to enable flexible metadata access in existing setups. We apply our methodology to an POC Unified Architecture (OPC UA) application in manufacturing and implement an open-source mapping from the expressive QL XPath. We export OPC UA information models to XML, design XPath expressions, transform these to OPC UA, and finally execute them in OPC UA with a patched client. An evaluation in a real-world injection molding application demonstrates how we, in addition to raw sensor values, dynamically capture associated metadata such as unit, scale, and precision. Our approach replaces individual, machine-dependent solutions with universal ones that drastically reduce the time and complexity for experts and can be easily transferred to other machines.",query languages;xpath;opc ua;transformation;semantics;real world,Protocols;Semantics;XML;Transforms;Metadata;Injection molding;Market research,IEEE Conferences
190,['Theory (T)'],Information model for the digital transformation of manufacturing systems in small and medium enterprises,"['M. William Gutierrez', ' J. A. LÃ³pez', ' J. H. Ortiz']",2022 IEEE International Conference on Automation/XXV Congress of the Chilean Association of Automatic Control (ICA-ACCA),2022,"This article proposes the development of an information model that allows starting the digital transformation of a small or medium-sized company (SME) using the OPC UA protocol. The model is made up of a hardware component made up of the process plant and the control equipment, as well as a software component where the information model is implemented.As an application case, the proposed information model is developed in a unit process plant, a filtration plant. The process carried out in this plant is through a filter to remove the solid particles present in the water used in the manufacturing process of a beverage. This plant can be integrated into a beverage and/or soft drink manufacturing system in a small company.The information model is integrated into an OPC UA server, a programmable controller, mapping the process variables such as level, temperature flow, and energy consumption. The information of the technological elements that make up the filtration plant are: serial, manufacturer, and calibration dates: OPC UA clients request information from the OPC UA server and then they are sent through procedures (methods) defined in the server and consumed by the server. client, all this integrates the information model.The foregoing shows the viability of the proposed",Address Space;digital transformation;OPC UA;SMEs.,Protocols;Temperature;Filtration;Digital transformation;Process control;Companies;Aerospace electronics,IEEE Conferences
191,"['Performance Analysis (PA)', 'Redundancy and Availability (RA)']",Evaluation of communication delay in IoT applications based on OPC UA,"['P. Ferrari', ' A. Flammini', ' S. Rinaldi', ' E. Sisinni', ' D. Maffei', ' M. Malara']",2018 Workshop on Metrology for Industry 4.0 and IoT,2018,"The grow of Industry 4.0 is pushing the deployment of the Industrial Internet of Things (IIoT) allowing many (all) industrial devices to be connected to the Internet for data sharing. Based on the enormous amount of data stored in the Cloud, new analysis algorithms can be run and the extracted information can be sold as â€œserviceâ€. Even if today the Industry 4.0 applications have still a slow reaction time, it is clear that â€œshort latency servicesâ€ may have competitive advantage in the market. For this reason, this paper is focused on the evaluation of the communication delay due to the transfer of data from the source (i.e. the production line) to the Cloud and the way back. The reference architecture considered in this paper is based on: the well accepted OPC UA (Open Platform Communications Unified Architecture) access method for retrieving data directly from the device inside the production line; and a classic gateway approach for sending data in real (commercial) Cloud platforms. In this paper a test methodology is proposed and a use case is presented to show its feasibility. The experimental outcomes demonstrate that, by means of the proposed methodology, flexible solutions based on OPC UA combined with industrial grade IoT gateways can be easily evaluated. From the perspective of the considered use case, the average delay due to communication from the production line (in details: from a Siemens S7 1500 controller) to the Cloud (IBM Bluemix platform) is less than 300 ms with a standard deviation of about 70 ms over two weeks observation time.",Industry 4.0;Distributed measurement systems;Automation Networks;Node-RED;Cloud computing;OPC UA,Cloud computing;Delays;Industries;Logic gates;Protocols;Servers;Automation,IEEE Conferences
194,"['Security (S)', 'Product Development (PD)', 'Protocol Comparison (PC)']","Simplifying functional safety communication in modular, heterogeneous production lines","['D. Etz', ' T. FrÃ¼hwirth', ' A. Ismail', ' W. Kastner']",2018 14th IEEE International Workshop on Factory Communication Systems (WFCS),2018,"Heterogeneous production lines as a keystone of smart factories, comprised of machines from various manufacturers, are placing a new range of demands on communication and interoperability. Connectivity is the key element for seamless data communication in Cyber-Physical Systems (CPS). This includes standardized protocols and interfaces as well as vendor neutral technologies. An important aspect of a production line, is functional safety and its technical implementation. Up to now, safety-relevant connections between devices of different manufacturers have been implemented using dedicated cables and line monitoring. The aim of this paper is to design an integrated safety architecture based upon existing technologies. The method proposed in this paper aims at achieving functional safety connectivity, along with non-safe data traffic, based on the vendor-neutral technologies Ethernet, Time-Sensitive Networking (TSN), and OPC Unified Architecture (OPC UA).",Functional Safety;Interoperability;Real-Time;Unified Communication;OPC UA;TSN,Safety;Protocols;IEC Standards;Production;Delays;ISO Standards,IEEE Conferences
195,"['Product Development (PD)', 'Protocol Comparison (PC)']",Cyber-Physical Production Systems supported by Intelligent Devices (SmartBoxes) for Industrial Processes Digitalization,"['P. Torres', ' R. DionÃ\xadsio', ' S. MalhÃ£o', ' L. Neto', ' R. Ferreira', ' H. Gouveia', ' H. Castro']",2019 IEEE 5th International forum on Research and Technology for Society and Industry (RTSI),2019,"Industry 4.0 paradigm is a reality in the digitization of industrial processes and physical assets, as well as their integration into digital ecosystems with several suppliers of the value chain. In particular, Industry 4.0 is the technological evolution of embedded systems applied to Cyber-Physical Systems (CPSs). With this, a shift from the current paradigm of centralization to a more decentralized production, supported by Industrial Internet of Things (IIoT), is implied. The work reported in this paper focuses on the development of smart devices (SmartBoxes), based on low-cost hardware such as Raspberry Pi and also platforms certified for industrial applications, such as NI CompactRIO. Both platforms adopted the OPC-UA architecture to collect data from the shop-floor and convert it into OPC-UA Data Access standard for further integration in the proposed CPPS. Tests were also performed with the MQTT protocol for monitorization. Each SmartBox is capable of real-time applications that run on OPC-UA and MQTT, allowing easy interaction between supervisory systems and physical assets.",Cyber-Physical Production Systems;IIoT;OPC-UA;MQTT;SmartBox;RAMI4.0,,IEEE Conferences
196,['Wireless Communication (W)'],5G Remote I/O System Design and Implement in Industry,"['Z. Jia', ' W. Xia', ' D. Li', ' W. Zhang']","2020 IEEE Conference on Telecommunications, Optics and Computer Science (TOCS)",2020,"5G has gone to everyone with the characteristic of Ultra-Reliable Low Latency Communication (uRLLC) and Enhance Mobile Broadband (eMBB), which can meet increasing industrial data transmission requirements. In this paper, a wireless I/O (Input or Output) System is designed to transmit I/O signal with OPC Unified Architecture (OPC UA) protocol in 5G Local Area Network (LAN). The system includes remote modules, which connect to sensors and actuators for data acquisition and output, a cloud server, which is used for Dynamic Domain Name Resolution (DDNS), and controllers that process the data and monitor remotely. Besides, the implemented system includes Raspberry Pi 4th, which is used as the remote module, and a DDNS server, which runs in the cloud. Finally, two scenarios are presented to transmit the sensors data with this system.",Remote I/O;5G LAN;OPC UA;DDNS,Protocols;5G mobile communication;Ultra reliable low latency communication;Sensor systems;Sensors;Servers;System analysis and design,IEEE Conferences
197,"['Performance Analysis (PA)', 'Diagnostic and Monitoring (DM)']",A Prefatory Study on Data Channelling Mechanism towards Industry 4.0,"['K. H. Ng', ' Y. Tew', ' M. W. Yip']",2019 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),2019,"Data are increasing in volume, variety and velocity in this Internet of things and big data era. It applies from industry (or manufacturing) process monitoring control to video surveillance analysis to track human and machines activities. Therefore, fast and accurate approaches in data channelling are needed to effectively deal with these big data. This paper presents practical methods to manage and transfer the data from industry manufacturing site to a centralized data processing hub. In this hub, data are transformed into understandable information, which can assist human in understanding and monitoring manufacturing situation autonomously. These data are collected and channelled to desired location for analysis through Open Platform Communication Unified Architecture (OPC UA). Industrial protocols and standards are used to interpret the data channelling methods and tested on several industrial machines. Result shows that size of data and number of OPC UA Client that connects to OPC Server affects the data channelling speed.",Data Channeling;OPC UA;Industry 4.0;RAMI 4.0,Virtual private networks;Servers;Industries;Temperature sensors;Manufacturing;Production,IEEE Conferences
200,['Product Development (PD)'],"Semantic Automation Systems, a Suitable Approach for Automation Networks in the Industry 4.0","['S. Gil', ' G. D. Zapata-Madrigal']",2019 IEEE 4th Colombian Conference on Automatic Control (CCAC),2019,"The Industry 4.0 demands a change of paradigm for the automation engineering and some new requirements that has to be accomplished like data integration, big data processing, semantics, communication protocols, and standardization. The interoperability is another essential concept, it is a key for the development of the Industry 4.0. This work presents a semantic approach to model automation systems through an ontology, and its applicability in industrial automation networks using OPC UA. The Automation I4.0 Ontology, the model proposed in this project, provides a semantic tool to represent high-, middle, and low-level concepts of automation systems, and offers a way to integrate directly in software applications and semantic-based communications protocols such as OPC UA. It demonstrates the suitability of the semantic-based automation systems to be implemented by semantic-based or object-based communication protocols in Industry 4.0 applications. This initiative intends to empower the development of the Industry 4.0 and the Internet of Things for the automation engineering.",Ontologies;Distributed Automation Systems;Semantic Models;Industry 4.0;Internet of Things;OPC UA,Automation;Ontologies;Semantics;Industries;Standards;Resource description framework;Protocols,IEEE Conferences
201,['Product Development (PD)'],Construction and Application of Information Model of CNC Machine Tools,"['X. Song', ' Z. Jiang', ' L. Zheng', ' B. Li', ' L. Li', ' D. Wang']",2022 IEEE 17th Conference on Industrial Electronics and Applications (ICIEA),2022,"The Computer Numerical Control machine tools in the digital workshop usually come from different manufacturers, and it is difficult to transfer information between upper-level systems and heterogeneous devices, so it is necessary to establish a complete and standardized information model to realize the interconnection of device information. In this paper, we analyze the composition structure of machine tools and production operation information, and establish a flexible and scalable information model of CNC machine tools according to the modeling rules of manufacturing equipment integrated information model. By developing OLE for Process Control Unified architecture server, the mapping of information model to OPC UA information model is realized, and it is verified that the client can access the information of CNC machine tools by accessing the server. It shows that the established CNC machine tool information model can be interconnected based on OPC UA protocol.",CNC;information model;OPC UA,Analytical models;Protocols;Process control;Production;Predictive models;Data models;Machine tools,IEEE Conferences
202,"['Product Development (PD)', 'Theory (T)']",Common Management Technology of Automation Equipment in Industry 4.0,"['J. -H. Liu', ' Y. -S. Lu', ' Y. -T. Yu']","2020 IEEE Eurasia Conference on IOT, Communication and Engineering (ECICE)",2020,"The purpose of Industry 4.0 is to make the automation for industry and the current trends of technological innovations to use or produce equipment with IT technologies. This research uses AutomationML language as the main structure of Asset Administration Shell (AAS), which refers to the relevant specifications and standards of OPC to build and combine OPC UA (Open Process Control Unified Architecture) to realizes the information and communication layer in the six functions of RAMI4.0.",Industry 4.0;Asset Administration Shell;Information Model;OPC UA,Tools;Industries;Standards;Object oriented modeling;Computer architecture;Manufacturing;XML,IEEE Conferences
203,"['Product Development (PD)', 'Theory (T)']",Automatic Information Model Generation for Industrial Edge Applications Based on IEC 61499 and OPC UA,"['W. Dai', ' Y. Zhang', ' Y. Zhang', ' J. Kang', ' D. Huang']",IEEE Transactions on Industrial Informatics,2022,The Industry 4.0 and Industrial Internet provides vertical and horizontal integration between edge devices and industrial cloud platforms. A flexible and interoperable information model is crucial for enabling device-level intelligence as well as cloud-edge collaboration. Deep integration between the control and information model is necessary for supporting closed-loop optimization between the cloud and edge devices. This paper proposes an automatic information model generation method based on the IEC 61499 and OPC UA standards. Model transformation rules between two models from design time to runtime are presented. A discrete manufacturing case study is used to prove that the proposed method can significantly reduce the development time for distributed information models. The integrated control and information models at runtime can provide strong support for dynamic reconfiguration to address changing requirements.,Automatic Model Generation;IEC 61499;Industrial Edge Computing;Information Modeling;OPC UA,IEC Standards;Unified modeling language;Object oriented modeling;Standards;Data models;Adaptation models;Protocols,IEEE Journals
210,['Product Development (PD)'],Shop Floor Virtualization and Industry 4.0,"['A. Martins', ' H. Costelha', ' C. Neves']",2019 IEEE International Conference on Autonomous Robot Systems and Competitions (ICARSC),2019,"This paper addresses one of the key components in today's industrialization approach: virtualization. The work describes the virtualization of a typical production process, the digital twin in the scope of Industry 4.0, involving different devices, such as robotic arms, conveyors, automatic warehouses and vision systems. It includes both legacy and recent equipment, with different characteristics and communication capabilities, ranging from RS232 serial communication to TCPIIP-based communication, or even I/O-based interaction for devices with no communication capabilities. The developed approach aims at industrial implementations, while allowing for educational purposes. For a standardized approach, the OPC UA protocol is used for high-level communication between the various systems. Several results are described showing the success of the methodology and application.",Virtualization;Simulation;Industry 4.0;OPC UA;RobotStudio,Service robots;Servers;Virtualization;Industries;Manipulators;Visualization,IEEE Conferences
211,"['Product Development (PD)', 'Others (O)']",A systematic top-down information modelling approach for workshop-type manufacturing systems,"['S. Schmied', ' D. GroÃŸmann', ' B. Denk']",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2019,Workshop-type manufacturing systems grow over time and therefore they have heterogeneous communication interfaces. Digitalization can be an enabler to lowering their costs and improving their performance. This can be facilitated with the introduction of common information models. But the widespread introduction of information models in such manufacturing environments is entailed with significant efforts and risks. This paper describes how existing workshop-type manufacturing environments can be documented in such a way that they can subsequently be reproduced in an OPC UA information model.,OPC UA;information modelling,Manufacturing systems;Object oriented modeling;Unified modeling language;Documentation;Organizations,IEEE Conferences
212,['Diagnostic and Monitoring (DM)'],Fault Detection Assessment using an extended FMEA and a Rule-based Expert System,"['F. ArÃ©valo', ' C. Tito', ' M. R. Diprasetya', ' A. Schwung']",2019 IEEE 17th International Conference on Industrial Informatics (INDIN),2019,"Early fault detection and diagnosis lead to enhanced production performance since the companies can avoid unplanned machines downtimes and final product quality issues. Expert systems are widely popular in the industry for fault detection and diagnosis applications. This is due to its easy implementation, and its versatility to transform expert knowledge into rules. This paper proposes an extended FMEA (eFMEA) as a systematic knowledge extraction tool to detail the failure causes of equipment in an industrial process. It outlines a methodology for the automatic generation of expert knowledge rules through the digitalisation of the eFMEA. The last contribution is a rule-based expert system for multi-fault detection and diagnosis based on the digitalised eFMEA. This expert system uses the communication protocol OPC-UA to feed the current data from the equipment, to detect faults. It can detect multi-faults simultaneously. The fault detection and diagnosis are visualised through a web application.",Production Assessment;extended FMEA;Rule-based Expert Systems;OPC-UA;Web-Application,,IEEE Conferences
213,['Diagnostic and Monitoring (DM)'],Towards Formal Monitoring of Workpieces in Agile Manufacturing,"['M. Azangoo', ' J. O. Blech', ' U. D. Atmojo']",2020 IEEE International Conference on Industrial Technology (ICIT),2020,"Information about the locations of objects is one of the main ingredients of Industry 4.0. With the increased use of flexible and agile manufacturing techniques, the monitoring of workpieces in a factory can become more challenging. In this paper, we present a state-machine-based approach for monitoring workpieces using sensors such as RFID readers. We present a solution where each object is represented as a deterministic state machine to monitor the object's journey throughout production via this state machine representation. Multiple objects can be monitored at the same time by running parallel event-based state machines. We present an implementation of our solution using RFID-Readers and OPC UA.",industry 4.0;automation;agile manufacturing;OPC UA;deterministic state machine;factory of the future;monitoring,Monitoring;Radiofrequency identification;Agile manufacturing;Sensor systems;Automation,IEEE Conferences
