Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,
Portable Trust Anchor for OPC UA Using Auto-Configuration,D. Meier; F. Patzer; M. Drexler; J. Beyerer,"Fraunhofer Institute of Optronics, System Technologies, and Image Exploitation IOSB, Karlsruhe, Germany; Fraunhofer Institute of Optronics, System Technologies, and Image Exploitation IOSB, Karlsruhe, Germany; Fraunhofer Institute of Optronics, System Technologies, and Image Exploitation IOSB, Karlsruhe, Germany; Fraunhofer Institute of Optronics, System Technologies, and Image Exploitation IOSB, Karlsruhe, Germany",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),5 Oct 2020,2020,1,,270,277,"With increasing connectivity between industrial devices their attack surface grows. Consequently, secure setups have to allow these devices to distinguish trustworthy and untrustworthy communication partners. One of the most significant and wide-spread protocols for Ethernet-based data exchange between industrial devices and controls is the Open Platform Communications Unified Architecture (OPC UA). Although the OPC UA standard includes certificate-based security measures, it lacks of applicable solutions for bootstrapping trust. For secure communication, each OPC UA application is supposed to hold an application certificate which can be managed by a Global Discovery Server (GDS). Simply put, applications request their certificate from the GDS as well as information about trustworthy and revoked certificates of third parties. However, the OPC UA specifications do not suggest a secure method to establish the initial trust for the communication between an application and the GDS. Moreover, in current implementations, the administrator has to manually interchange the certificates between the peers to build sufficient trust relationships. This paper proposes an evaluated portable trust-anchor-based concept to establish this initial trust and demonstrates it solely based on standardized OPC UA communication.",1946-0759,978-1-7281-8956-7,10.1109/ETFA46521.2020.9211904,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9211904,OPC UA;Security;Trust;Certificate;Provisioning;Trust Anchor;Global Discovery Server,Protocols;Conferences;Servers;Security;Standards;Manufacturing automation,computer network security;electronic data interchange;local area networks;protocols;trusted computing,secure communication;application certificate;Global Discovery Server;GDS;revoked certificates;OPC UA specifications;secure method;standardized OPC;portable trust-anchor-based concept;certificate-based security measures;OPC UA standard;Open Platform Communications Unified Architecture;Ethernet-based data exchange;untrustworthy communication partners;trustworthy communication partners;portable trust anchor,,2,,30,IEEE,5 Oct 2020,,,IEEE,IEEE Conferences,,,
A Real-time Computation Task Reconfiguration Mechanism for Industrial Edge Computing,Y. Zhang; C. Pang; G. Yang,"Shanghai Jiao Tong University, China; GoogolTech (Shenzhen) Ltd, China; Shanghai Jiao Tong University, China",IECON 2020 The 46th Annual Conference of the IEEE Industrial Electronics Society,18 Nov 2020,2020,,,3799,3804,"The growth of massive generated data from the industrial field results in performance reduction on network bandwidth, real-time response, and communication latency. For distributed industrial automation systems, edge computing suits better than cloud computing from real-time constraints purpose. Furthermore, the integration of OPC UA in edge computing nodes improves interoperability and compatibility. This paper focuses on computation task reconfiguration issues among physically neighboring nodes based on OPC UA. Considering the high real-time requirement in industrial edge computing, a task reconfiguration mechanism is proposed and a real-time workload reallocation algorithm for optimization without any iteration process. Finally, a case study on a triplex reciprocating pump with a multi-class faults simulation model proves that it can improve task execution efficiency without worsening classification accuracy much.",2577-1647,978-1-7281-5414-5,10.1109/IECON43393.2020.9255395,National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9255395,task reconfiguration;workload reallocation;OPC UA;industrial edge computing,Task analysis;Logic gates;Edge computing;Computer architecture;Real-time systems;Cloud computing;Peer-to-peer computing,cloud computing;fault diagnosis;open systems;production engineering computing;resource allocation,distributed industrial automation systems;industrial edge computing;real-time computation task reconfiguration mechanism;workload reallocation algorithm;OPC UA;cloud computing;multiclass faults simulation model;interoperability,,2,,15,IEEE,18 Nov 2020,,,IEEE,IEEE Conferences,,,
Toward Industrial IoT: Integrated Architecture of an OPC UA Synergy Platform,C. Lee; N. Kim; S. Hong,"Department of Electronic Engineering, Hanyang University, Ansan, Republic of Korea; Research and Development Center, Nestfield Company Ltd., Ansan, South Korea; Department of Electronic Engineering, Hanyang University, Ansan, Republic of Korea",IEEE Access,21 Dec 2021,2021,9,,164720,164731,"Recently, the manufacturing industry has revolutionized with ‘smart manufacturing’ and ‘Industry 4.0’, and with the development of the Industrial Internet of Things (IIoT), increasing number of physical objects can access network services. However, critical issues such as real-time communication, interoperability, and interlinking of internet and industrial devices are yet to be addressed. These issues arise from the problem of interconnectivity between smart manufacturing systems and non-semantic industrial equipment. Therefore, we referred to ISO/IEC 30141, a standard IoT reference architect document, to solve the interconnection problem and bridge the gap between the Internet and industry. Furthermore, we proposed a four-domain integrated architecture that divides the manufacturing system into user, cloud service, sensing & controlling, and device domains. The proposed architecture is validated by constructing the applicable industrial pick-and-place testbed for the manufacturing system. Thus, this testbed can serve as guideline to examine the state of the art of the OPC UA PubSub based protocol in addition to several other types of protocol approaches.",2169-3536,,10.1109/ACCESS.2021.3135432,Institute for Information and Communications Technology Promotion (IITP) grant; Korea Government (MSIP) (Development and Proof of Open Manufacturing Operation System with ICT Convergence)(grant numbers:2020-0-009); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9648303,OPC UA;interoperability;interlinking;industry 40;manufacturing system;IIoT,Protocols;Industrial Internet of Things;Servers;Manufacturing systems;Cloud computing;Smart manufacturing;Logic gates,IEC standards;Internet of Things;ISO standards;manufacturing industries;manufacturing systems;production engineering computing,Industrial IoT;OPC UA synergy platform;smart manufacturing systems;nonsemantic industrial equipment;standard IoT reference architect document;manufacturing system;cloud service;OPC UA PubSub based protocol;ISO/IEC 30141 standard,,2,,42,CCBY,13 Dec 2021,,,IEEE,IEEE Journals,,,
Fault Detection Assessment Architectures based on Classification Methods and Information Fusion,F. Arévalo; J. Rernentería; A. Schwung,"Department of Automation Technology, South Westphalia University of Applied Sciences, Germany; Department of Automation Technology, South Westphalia University of Applied Sciences, Germany; Department of Automation Technology, South Westphalia University of Applied Sciences, Germany",2018 IEEE 23rd International Conference on Emerging Technologies and Factory Automation (ETFA),25 Oct 2018,2018,1,,1343,1350,"Classifiers based on machine learning are popular in literature, in order to support predictive maintenance of machinery. Depending on the process data, one classifier can assess target classes better than others. It often happens that the classifiers complement each other. A fusion strategy is needed in order to exploit the strength of each classifier. This paper presents fault detection assessment architectures based on information fusion and classification methods. It proposes the use of information fusion methods and different architectures, in order to improve the overall result of the fault detection assessment. Dempster-Shafer and Yager rules of combination are used to fuse the classification method predictions. The rules of combination improve the results by complementing the classifiers performance. A comparison between centralized and decentralized architectures is presented. The results show that the information fusion using decentralized architectures improves the overall performance of the fault detection assessment.",1946-0759,978-1-5386-7108-5,10.1109/ETFA.2018.8502604,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8502604,Fault Detection Assessment;Information Fusion;AdaBoost;Decision Tree;Naïve Bayes;Dempster-Shafer;Yager Rule;OPC-UA,Fault detection;Computer architecture;Data models;Machine learning;Automation;Decision trees;Support vector machines,fault diagnosis;inference mechanisms;learning (artificial intelligence);machinery;maintenance engineering;mechanical engineering computing;pattern classification;sensor fusion;uncertainty handling,classification methods;machine learning;process data;classifiers complement;information fusion methods;classification method predictions;classifiers performance;decentralized architectures;fault detection assessment architectures;predictive maintenance;machinery,,2,,19,IEEE,25 Oct 2018,,,IEEE,IEEE Conferences,,,
Ontological Formulation of Microgrid Control System for Interoperability,A. Ingalalli; R. Kumar; S. K. Bhadra,"ABB GISPL, Corporate Research Centre, Bangalore, India; ABB GISPL, Corporate Research Centre, Bangalore, India; ABB GISPL, Corporate Research Centre, Bangalore, India",2018 IEEE 23rd International Conference on Emerging Technologies and Factory Automation (ETFA),25 Oct 2018,2018,1,,1391,1398,"IEC 61850 and Common Information Model (CIM) (IEC 61968/61970) are predominantly used in smart grid domain to achieve the interoperability. CIM focuses on the organizational structures of different components within the smart grid while IEC 61850 focuses on the structure of information exchanges between field devices and systems. CIM can possibly be used for power system domain ontology and indeed for physical modeling too. On the other hand, the IEC 61850-7-420 defines object classes for assets such as Distributed Energy Resource (DER) which may include solar generation, storage, diesel generators etc., DER unit controllers, and other DER-associated power electronic devices (e.g., inverter). These object classes describe asset-specific attributes such as type of assets, set points, state of charge, limits, and ramp rate etc. While acknowledging the cumbersomeness involved in IEC 61850 engineering, there is a need to develop an easily engineer-able and interoperable system that would achieve the efficient operation of microgrid control system. In this paper, we have modelled a subset of microgrid system using different semantic models and tried to formulate the ontology to achieve an intended interoperable information model. The proposed model generation and deployment would achieve easy integration and autonomous operation of devices from different vendors with different information models.",1946-0759,978-1-5386-7108-5,10.1109/ETFA.2018.8502572,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8502572,Interoperability;Microgrid Plus Control System;IEC 61850;Common Information Model;OPC-UA;Information Model;UML Modeling,Unified modeling language;Microgrids;IEC Standards;Control systems;Object oriented modeling;Interoperability,distributed power generation;IEC standards;ontologies (artificial intelligence);open systems;power engineering computing;smart power grids,microgrid control system;intended interoperable information model;model generation;different information models;ontological formulation;interoperability;Common Information Model;CIM;IEC 61968/61970;smart grid domain;organizational structures;different components;information exchanges;field devices;power system domain ontology;physical modeling;object classes;DER unit controllers;DER-associated power electronic devices;asset-specific attributes;IEC 61850 engineering;semantic models;distributed energy resource,,2,,26,IEEE,25 Oct 2018,,,IEEE,IEEE Conferences,,,
Evaluation of communication delay in IoT applications based on OPC UA,P. Ferrari; A. Flammini; S. Rinaldi; E. Sisinni; D. Maffei; M. Malara,"Dept. of Information Engineering, University of Brescia, Brescia, Italy; Dept. of Information Engineering, University of Brescia, Brescia, Italy; Dept. of Information Engineering, University of Brescia, Brescia, Italy; Dept. of Information Engineering, University of Brescia, Brescia, Italy; Siemens Spa; Siemens Spa",2018 Workshop on Metrology for Industry 4.0 and IoT,9 Aug 2018,2018,,,224,229,"The grow of Industry 4.0 is pushing the deployment of the Industrial Internet of Things (IIoT) allowing many (all) industrial devices to be connected to the Internet for data sharing. Based on the enormous amount of data stored in the Cloud, new analysis algorithms can be run and the extracted information can be sold as “service”. Even if today the Industry 4.0 applications have still a slow reaction time, it is clear that “short latency services” may have competitive advantage in the market. For this reason, this paper is focused on the evaluation of the communication delay due to the transfer of data from the source (i.e. the production line) to the Cloud and the way back. The reference architecture considered in this paper is based on: the well accepted OPC UA (Open Platform Communications Unified Architecture) access method for retrieving data directly from the device inside the production line; and a classic gateway approach for sending data in real (commercial) Cloud platforms. In this paper a test methodology is proposed and a use case is presented to show its feasibility. The experimental outcomes demonstrate that, by means of the proposed methodology, flexible solutions based on OPC UA combined with industrial grade IoT gateways can be easily evaluated. From the perspective of the considered use case, the average delay due to communication from the production line (in details: from a Siemens S7 1500 controller) to the Cloud (IBM Bluemix platform) is less than 300 ms with a standard deviation of about 70 ms over two weeks observation time.",,978-1-5386-2497-5,10.1109/METROI4.2018.8428346,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8428346,Industry 4.0;Distributed measurement systems;Automation Networks;Node-RED;Cloud computing;OPC UA,Cloud computing;Delays;Industries;Logic gates;Protocols;Servers;Automation,cloud computing;delays;Internet;Internet of Things;internetworking;manufacturing industries;manufacturing systems;production engineering computing;programmable controllers,communication delay;OPCUA;data sharing;short latency services;production line;IBM Bluemix platform;cloud computing;industrial internet of things;industry 4.0 applications;open platform communications unified architecture;gateway approach;distributed measurement systems;Siemens S7 1500 controller,,2,,22,IEEE,9 Aug 2018,,,IEEE,IEEE Conferences,,,
Experiences from Adjusting Industrial Software for Worst-Case Execution Time Analysis,P. Denzler; T. Frühwirth; A. Kirchberger; M. Schoeberl; W. Kastner,"Institute of Computer Engineering, TU Wien, Vienna, Austria; Research Department, Austrian Center for Digital Production, Vienna, Austria; Institute of Computer Engineering, TU Wien, Vienna, Austria; Department of Applied Mathematics and Computer Science, DTU, Lyngby, Denmark; Institute of Computer Engineering, TU Wien, Vienna, Austria",2021 IEEE 24th International Symposium on Real-Time Distributed Computing (ISORC),9 Jul 2021,2021,,,62,70,"Worst-case execution time (WCET) analysis is a prevalent way to ensure the timely execution of programs in time-critical systems. With the advent of new technologies such as fog computing and time-sensitive networking (TSN), the interest in timing analysis has increased in industrial communication. This paper highlights experiences made while adjusting the publisher of the open62541 OPC UA stack to enable WCET analysis, following a simple process combined with the open-source platform T-CREST. The main challenges are the required knowledge about the code and the specific communication software characteristics like variable message sizes. Other findings indicate the need for other types of annotation for indirect recursion or callback functions. The paper provides the foundation for further research on adjusting the implementation of existing industrial communication protocols for WCET analysis.",2375-5261,978-1-6654-0414-3,10.1109/ISORC52013.2021.00019,Austrian Research Promotion Agency (FFG)(grant numbers:854187); European Union(grant numbers:764785); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9470243,worst-case execution time;industrial software;transformation rules;real-time communication;OPC UA,Protocols;Annotations;Industrial communication;Real-time systems;Timing;Time factors;Middleware,embedded systems;program diagnostics;protocols;real-time systems,industrial software;worst-case execution time analysis;time-critical systems;time-sensitive networking;timing analysis;paper highlights experiences;open62541 OPC UA stack;WCET analysis;open-source platform T-CREST;specific communication software characteristics;industrial communication protocols,,2,,35,IEEE,9 Jul 2021,,,IEEE,IEEE Conferences,,,
Optimization of multi-agent auctioning processes in flexible production networks,F. Gehlhoff; H. Nabizada; A. Fay,"Institute of Automation Technology, Helmut Schmidt University, Hamburg, Germany; Institute of Automation Technology, Helmut Schmidt University, Hamburg, Germany; Institute of Automation Technology, Helmut Schmidt University, Hamburg, Germany",2019 IEEE 17th International Conference on Industrial Informatics (INDIN),30 Jan 2020,2019,1,,100,105,"Shorter product lifecycles and increasing product complexity are important trends that drive the need for increased flexibility of production companies. One way to cope with this problem is to engage in flexible production networks where companies can find missing production capabilities and offer their own ones. To enable this connection across company borders and software platforms, an agent-based communication approach is proposed that is based on the OPC UA standard. This paper also develops an optimization concept that can increase a company's benefits, i.e. profits, by applying a learning algorithm as well as an approach to calculate optimal margins, which is encapsulated in an optimization agent.",2378-363X,978-1-7281-2927-3,10.1109/INDIN41052.2019.8972115,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8972115,auctions;learning;agent-based optimization;OPC UA,,learning (artificial intelligence);multi-agent systems;production engineering computing,multiagent auctioning processes;flexible production networks;product complexity;production companies;production capabilities;software platforms;agent-based communication approach;optimization agent;product lifecycles;OPC UA standard,,2,,18,IEEE,30 Jan 2020,,,IEEE,IEEE Conferences,,,
A Thorough Analysis and Comparison of Data Communication Protocols Used in Industry 4.0: the Case of Smart-CNC,B. U. Deveci; H. Bas; E. Ummak; O. Albayrak; P. Unal,"Department of Research and Development, TEKNOPAR, Ankara, Turkey; Department of Industrial Engineering, TOBB University of Economics and Technology, Ankara, Turkey; Department of Research and Development, TEKNOPAR, Ankara, Turkey; Department of Research and Development, TEKNOPAR, Ankara, Turkey; Department of Research and Development, TEKNOPAR, Ankara, Turkey",2022 9th International Conference on Future Internet of Things and Cloud (FiCloud),10 Oct 2022,2022,,,199,206,"Several key methods have been developed to transfer data accurately and completely. In this regard, a communication protocol specifies the rules for transmitting blocks of data between network nodes. This study examines in detail the scope of the Qu4lity project, the data communication protocols used by the pilots, the protocols used by TEKNOPAR, and the benefits, drawbacks, and application areas of different data communication protocols. Protocols were analysed against a number of technical criteria aimed at identifying the most appropriate procedure. Communication protocols were categorized considering the following features: technical qualifications such as transport protocol, coding format, message system, architecture, security, and scalability.",,978-1-6654-9350-5,10.1109/FiCloud57274.2022.00034,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910511,data communication;Industry 4.0;internet of things;OPC UA;MQTT;AMQP;Modbus;Profibus,Transport protocols;Protocols;Scalability;Soft sensors;Fourth Industrial Revolution;Planning;Data communication,computerised numerical control;data communication;production engineering computing;protocols;transport protocols,data communication protocols used;transfer data;communication protocol;Qu4lity project;different data communication protocols;transport protocol,,2,,44,IEEE,10 Oct 2022,,,IEEE,IEEE Conferences,,,
Static Timing Analysis of OPC UA PubSub,P. Denzler; T. Frühwirth; A. Kirchberger; M. Schoeberl; W. Kastner,"Institute of Computer Engineering, TU Wien, Vienna, Austria; Research Department, Austrian Center for Digital Production, Vienna, Austria; Institute of Computer Engineering, TU Wien, Vienna, Austria; Department of Applied Mathematics and Computer Science, Technical University of Denmark, Lyngby, Denmark; Institute of Computer Engineering, TU Wien, Vienna, Austria",2021 17th IEEE International Conference on Factory Communication Systems (WFCS),16 Jul 2021,2021,,,167,174,"Industrial automation is changing towards higher integration and seamless communication. A stepping stone is end-to-end real-time machine-to-machine communication, now becoming feasible with technologies such as time-sensitive networking (TSN) and OPC Unified Architecture (OPC UA) publish-subscribe. While TSN takes care of communication, the OPC UA stack's execution time behavior remains unknown. This paper highlights experiences made while adjusting the OPC UA subscriber of the open62541 stack for worst-case execution time (WCET) analysis. Two directly connected time-predictable T-CREST platforms hosting the publisher and subscriber delivered end-to-end timing measures validating the WCET estimates. The paper concludes by outlining further research with several time-predictable publishers and subscribers.",,978-1-6654-2478-3,10.1109/WFCS46889.2021.9483614,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9483614,worst-case execution time;industrial software;real-time communication;OPC UA,Machine-to-machine communications;Decision making;Publish-subscribe;Data transfer;Real-time systems;Production facilities;Timing,embedded systems;message passing;middleware;multiprocessing systems;program diagnostics;real-time systems;software architecture;timing,static timing analysis;OPC UA PubSub;industrial automation;seamless communication;stepping stone;end-to-end real-time machine-to-machine;time-sensitive networking;TSN;OPC Unified Architecture;OPC UA stack;OPC UA subscriber;open62541 stack;worst-case execution time analysis;subscriber delivered end-to-end timing measures;time-predictable publishers,,2,,39,IEEE,16 Jul 2021,,,IEEE,IEEE Conferences,,,
Dynamic integration of manual and automated biological process skills into MES,B. Christian; M. Adam; B. Philipp; H. Werner,"Laboratory for Machine Tools, RWTH Aachen University, Aachen, Germany; Laboratory for Machine Tools, RWTH Aachen University, Aachen, Germany; Laboratory for Machine Tools, RWTH Aachen University, Aachen, Germany; Laboratory for Machine Tools, RWTH Aachen University, Aachen, Germany",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),17 Oct 2019,2019,,,1069,1076,"The manual cultivation of biological cells is very time- and cost-intensive. The automation of these processes promises significant cost savings as well as the required transparency and quality of the results. Biological cell cultivation protocols are constantly being researched and modified, which enormously increases the flexibility requirements for the plant technology. An important aspect is the early consideration of different laboratory equipment and the possibility of step-by-step partial automation of biological processes. In the course of process development and automation, it helps that manually executed process parts can be transparently integrated into the higher-level process control before they are automated using suitable laboratory equipment. Furthermore, device failures can be replaced by manual process execution. This paper presents a method for mapping biological skills using OPC UA models and integrating them into automated plants.",1946-0759,978-1-7281-0303-7,10.1109/ETFA.2019.8869389,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8869389,automation;personalized medicine;cell culture processes;opc ua,Production;Automation;Computer architecture;Biological information theory;Manuals;Process control;Protocols,biology computing;biotechnology;cellular biophysics;factory automation;process control;production engineering computing,manual process execution;automated plants;automated biological process skills;manual cultivation;biological cells;cost savings;biological cell cultivation protocols;plant technology;step-by-step partial automation;biological processes;process development;higher-level process control;plant technology,,1,,23,IEEE,17 Oct 2019,,,IEEE,IEEE Conferences,,,
Monitoring of Discrete Electrical Signals from Welding Processes using Data Mining and IIoT Approaches,S. G. Mathias; S. Schmied; D. Grossmann,"Zentrum für Angewandte Forschung, Technische Hochschule Ingolstadt, Ingolstadt, Germany; Zentrum für Angewandte Forschung, Technische Hochschule Ingolstadt, Ingolstadt, Germany; Zentrum für Angewandte Forschung, Technische Hochschule Ingolstadt, Ingolstadt, Germany",2020 IEEE 32nd International Conference on Tools with Artificial Intelligence (ICTAI),24 Dec 2020,2020,,,911,916,"Processes such as welding involve consumption of huge amounts of energy leading to generation of significant electrical data consisting of current and voltage signals. The added task is to inspect the quality of welding using such data as early as possible to identify defects in producing welded parts or equipment. From the perspective of machine learning, this paper presents a data mining approach to analyse small sampled amounts of electrical signals to identify welding inconsistencies using conventional methods such as clustering algorithms, time-series and multi-label classifiers. Using unlabelled and discrete signals, an attempt is made to build a process profile on the welding robots with the use of comparison measures such as Jaccard's metric. To monitor such a mechanism, a simulation application based on IIoT standard Open Platform Communication (OPC UA) is developed to present the analysis over secure network servers to clients. The application setup presents a basic monitoring system for welding processes using available technologies like machine learning algorithms and OPC UA.",2375-0197,978-1-7281-9228-4,10.1109/ICTAI50040.2020.00142,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9288310,electrical signals;clustering;kmeans;hierarchical;time series;OPC UA;multi-label classification;metrics,Machine learning algorithms;Welding;Tools;Data mining;Task analysis;Monitoring;Standards,data mining;learning (artificial intelligence);network servers;pattern classification;pattern clustering;production engineering computing;robotic welding,basic monitoring system;welding processes;machine learning algorithms;discrete electrical signals;IIoT approaches;significant electrical data;current voltage signals;added task;welded parts;data mining approach;analyse small sampled amounts;welding inconsistencies;multilabel classifiers;unlabelled signals;discrete signals;process profile;welding robots;IIoT standard Open Platform Communication,,1,,18,IEEE,24 Dec 2020,,,IEEE,IEEE Conferences,,,
Development of a Mobile App for Fault Detection Assessment based on Information Fusion,F. Arévalo; E. Oestanto; A. Schwung,"Department of Automation Technology, South Westphalia University of Applied Sciences, Germany; Department of Automation Technology, South Westphalia University of Applied Sciences, Germany; Department of Automation Technology, South Westphalia University of Applied Sciences, Germany",2018 IEEE 16th International Conference on Industrial Informatics (INDIN),27 Sep 2018,2018,,,635,640,"Machine faults cause high financial losses for industrial companies. Machine faults stop the process flow, and are associated with idle time and additional expenses due to unexpected corrective maintenance. Depending on the fault, the idle time can span from short time actions to long inactivity periods for the machine. This idle time can risk a customer shipment, subsequently putting at risk the customer trust. A complex interaction between process variables cannot be easily traced using conventional condition monitoring approaches. There is an increasing trend to use machine learning methods to assess condition based maintenance. This paper proposes a mobile App for the fault detection assessment of industrial machinery. A proposal for the design and implementation of the mobile is presented, as well as the methodology followed for the fault detection assessment. The fault detection assessment is adressed using machine learning techniques, specifically a majority voting classifier. This majority voting classifier combines the predictions of three classification methods. The results show that the majority voting approach improves the performance of the fault detection assessment in comparison with the invidual classification methods.",2378-363X,978-1-5386-4829-2,10.1109/INDIN.2018.8471933,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8471933,Fault Detection Assessment;Majority Voting Classifier;SVM;Mobile App;OPC-UA,Fault detection;Machine learning;Automation;Machinery;Data analysis;Software;Servers,condition monitoring;fault diagnosis;learning (artificial intelligence);machinery;maintenance engineering;mobile computing,fault detection assessment;mobile App;machine faults;condition monitoring;machine learning;industrial machinery;design engineering;information fusion,,1,,20,IEEE,27 Sep 2018,,,IEEE,IEEE Conferences,,,
Implicit Templates for Conformance Units in OPC UA Companion Specifications,S. Friedl; T. Heinemann; A. Lechler; O. Riedel,"Institute for Control Engineering of Machine Tools and Manufacturing Units, University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units, University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units, University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units, University of Stuttgart, Stuttgart, Germany",2021 22nd IEEE International Conference on Industrial Technology (ICIT),18 Jun 2021,2021,1,,730,735,"Due to its importance in the Industry 4.0 movement, the usage of OPC UA has increased in recent years. More and more vendor-independent and domain-specific models are developed as so-called Companion Specifications. OPC UA Profiles allow to subdivide functionality within the Companion Specifications, and thus offer flexibility to the standards. An OPC UA Profile is a set of individually testable entities called Conformance Units, which are also defined within the Companion Specification. In this work, similarities between Conformance Units defined by different working groups are analyzed and grouped in CU classes by the scope of the Conformance Units. For the most prevalent CU classes, textual templates are suggested, based on the typical formulations in existing Companion Specifications. These templates are intended to ease the development of Companion Specifications and the Conformance Units therein. The CU classes identified in this work suggest the templates can be used for more than two-thirds of the Conformance Units in a Companion Specification. The CU classes and templates are also a step towards automation in the generation of OPC UA Companion Specification Documents and test cases for the Conformance Units.",,978-1-7281-5730-6,10.1109/ICIT46573.2021.9453582,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9453582,OPC UA Companion Specification;Conformance Units;Industrial Communication;Standardization,Conferences;Standards,formal specification;production engineering computing;software architecture,companion specification;domain-specific models;OPC UA Profile;CU classes;conformance units;industry 4.0;textual templates,,1,,26,IEEE,18 Jun 2021,,,IEEE,IEEE Conferences,,,
An Industrie 4.0 compliant and self-managing OPC UA Aggregation Server,J. N. Weskamp; J. Tikekar,"Fraunhofer IOSB, IOSB-INA Lemgo, Fraunhofer Institute of Optronics, System Technologies and Image Exploitation; Darmstadt University of Applied Science, Darmstadt, Germany",2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA ),30 Nov 2021,2021,,,1,8,"Gaining value out of data provided in industrial application in a standardized Industrie 4.0 compliant way is a challenging and time-extensive task. Not only does the data need to be integrated into a data platform, it also needs to be described and integrated in an appropriate way, that allows a standardized processing for its value-added services. One way to achieve this, lies in the use of OPC UA and the asset administration shell. Together they can implement an Industrie 4.0 Component as the standardized service for tailored data integration and usage. Data in OPC UA is available in different levels of abstraction, both in terms of the data and its description. Rarely is the asset administration shell (AAS) considered in this context. This paper will introduce a first approach to harmonize OPC UA and the AAS in an I4.0 compliant Aggregation Server. The server is able to aggregate information models based on the current meta model mapping of the AAS, regardless of whether the base servers implement this or not. Moreover the aggregated server can route OPC UA services down to the base servers and is managing itself in case of discovery and information aggregation. This approach can be used as the standalone interface for data integration in respective data platforms.",,978-1-7281-2989-1,10.1109/ETFA45728.2021.9613365,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613365,Industrie 4.0;Digital Twin;Asset Administration Shell;OPC UA;Data Aggregation;Big Data Platform;Data Integration,Industries;Conferences;Aggregates;Data integration;Servers;Task analysis;Manufacturing automation,data aggregation;data integration;factory automation;production engineering computing;service-oriented architecture,information aggregation;Industrie 4.0 compliant;data integration;AAS;self-managing OPC UA aggregation server;time-extensive task,,1,,21,IEEE,30 Nov 2021,,,IEEE,IEEE Conferences,,,
